id,user_id,assistant_name,default_greeting,show_availability,avatar_url,user_bubble_color,assistant_bubble_color,font,conversation_style,knowledge_base,enable_learning,email_notification_address,welcome_page_chat_enabled,welcome_page_chat_greeting,welcome_page_chat_bubble_color,welcome_page_chat_text_color,welcome_page_chat_behavior,welcome_page_chat_scraping_enabled,welcome_page_chat_scraping_depth,welcome_page_chat_scraping_data
3,1,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
5,2,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
8,3,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
16,4,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
17,5,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
18,7,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
19,8,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
20,11,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
21,12,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
22,13,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
23,14,AIPPS Assistant,"👋 Hi there! I'm AIPPS, your AI assistant. How can I help you today?",t,,#3B82F6,#E5E7EB,inter,professional,default,t,,t,"👋 ¡Hola! Soy AIPPS, tu asistente de IA. ¿En qué puedo ayudarte hoy?",#111827,#FFFFFF,"Sé amable, informativo y conciso al responder preguntas sobre AIPPS y sus características.",f,5,
